Exp,ATLAS F0,CMS ejets F0,CMS mujets F0,CMS single top F0,ATLAS FL,CMS ejets FL,CMS mujets FL,CMS single top FL,Rho ATLAS F0 FL,Rho CMS ejets F0 FL,Rho CMS mujets F0 FL,Rho CMS single top F0 FL,Rho LHC,Rho CMS e/mu jets,Rho CMS ljets/st
Value,0.709,0.705,0.685,0.720,0.299,0.304,0.328,0.298,0,0,0,0,0,0,0
Stat+bkg,0.012,0.028,0.016,0.041,0.008,0.011,0.010,0.031,-1,-0.87,-0.88,-0.90,0,0,0
Size of simulated samples,0.009,0.002,0.002,0.020,0.006,0.001,0.001,0.012,-1,-0.95,-0.96,-0.96,0,0,0
JES,0.005,0.004,0.005,0.004,0.003,0.003,0.003,0.004,-0.94,-1,-1,-1.00,0.2,1,1
JER,0.006,0.001,0.004,0.001,0.003,0.002,0.003,0.001,-0.92,-1,-1,-1,0,1,1
JVF,0.003,0,0,0,0.002,0,0,0,-0.99,0,0,0,0,0,0
Jet reconstruction efficiency,0,0,0,0,0,0,0,0,-1.00,0,0,0,0,0,0
Lepton efficiency,0.004,0.001,0.001,0,0.002,0.002,0.001,0,-0.99,-1,-1,-1,0,0,0
B tagging,0.002,0.001,0.001,0.006,0.001,0,0,0.006,-0.84,-1,-1,-1,0,1,1
Pileup,0,0.001,0,0.003,0,0.001,0,0.003,0,-1,-1,-1,0,1,1
Top quark mass,0.002,0.012,0.009,0.005,0.007,0.008,0.006,0.007,-1,-0.99,-1,-1,1,1,1
Simulation model choice,0.003,0.015,0.008,0.002,0.004,0.010,0.004,0.003,0.99,-0.87,0.2,-1,1,1,1
Radiation and scales,0.003,0.007,0.014,0.023,0.006,0.005,0.006,0.019,-0.91,-1,-0.83,-1,0.5,1,1
Top quark pT,0,0.011,0,0,0,0.010,0.001,0,0,-1,-1,0,0,1,0
PDF,0.003,0.004,0.002,0.004,0.004,0.001,0.001,0.004,-1,-0.92,-0.15,-0.97,1,1,1
Single top method,0,0,0,0.012,0,0,0,0.015,0,0,0,-1.00,0,0,0
